conversation_id,ground_truth_topic_consistency,calculated_topic_consistency,ground_truth_insight_count,calculated_insight_count,ground_truth_learning_exchanges,calculated_learning_exchanges
conv_0938,0.5165629553363964,0.23529411764705882,5,5,2,2
conv_0939,0.859409654286744,0.16666666666666666,1,1,1,1
conv_0940,0.9890535748325784,0.3125,5,5,3,3
conv_0941,0.6562729651785191,0.14285714285714285,2,2,3,3
conv_0942,0.9253216344745683,0.09090909090909091,4,4,2,2
conv_0943,0.5009514766581376,0.2222222222222222,2,2,4,4
conv_0944,0.5432370670418866,0.1875,4,4,7,7
conv_0945,0.9765529269583202,0.0,2,2,2,2
conv_0946,0.7883697268211359,0.0,3,3,2,2
conv_0947,0.920899883061485,0.0,0,0,3,3
conv_0948,0.575331785841596,0.3333333333333333,5,5,4,4
conv_0949,0.8239414731863409,0.0,1,1,1,1
conv_0950,0.8142853948166713,0.42105263157894735,10,10,3,3
conv_0951,0.7374560398393786,0.17647058823529413,3,3,6,6
conv_0952,0.7623791594563338,0.2,1,1,0,0
conv_0953,0.9950928610108202,0.0,1,1,0,0
conv_0954,0.9281530831760391,0.0,3,3,1,1
conv_0955,0.8857872974944293,0.06666666666666667,2,2,2,2
conv_0956,0.6968437900224209,0.16666666666666666,5,5,3,3
conv_0957,0.5132309079136197,0.0,1,1,1,1
conv_0958,0.8677534692986961,0.2727272727272727,6,6,2,2
conv_0959,0.677332029350181,0.23076923076923078,4,4,4,4
conv_0960,0.9346688411876833,0.0,0,0,1,1
conv_0961,0.6008105234247108,0.2,2,2,0,0
conv_0962,0.6718261084416295,0.1,2,2,2,2
conv_0963,0.7788637668574148,0.1875,7,7,3,3
conv_0964,0.8431114500916771,0.0,0,0,0,0
conv_0965,0.9154843750479837,0.4,2,2,1,1
conv_0966,0.8774360969505336,0.17647058823529413,7,7,2,2
conv_0967,0.7085067048937735,0.1,3,3,2,2
conv_0968,0.6325306992936471,0.36363636363636365,3,3,4,4
conv_0969,0.621988387132389,0.25,1,1,3,3
conv_0970,0.8930912871093436,0.4,1,1,2,2
conv_0971,0.9793689972311447,0.25,5,5,3,3
conv_0972,0.5898001106861148,0.0,3,3,2,2
conv_0973,0.6248296331445584,0.25,0,0,2,2
conv_0974,0.7908665732014735,0.058823529411764705,7,7,3,3
conv_0975,0.54564320649628,0.1,7,7,0,0
conv_0976,0.6431709946049144,0.2,2,2,3,3
conv_0977,0.855666197444903,0.15384615384615385,7,7,1,1
conv_0978,0.8204707616510796,0.1,4,4,4,4
conv_0979,0.8070690939771106,0.0,4,4,3,3
conv_0980,0.6966887801886239,0.2222222222222222,3,3,1,1
conv_0981,0.8130516889043757,0.0,5,5,5,5
conv_0982,0.94713181342883,0.0,0,0,1,1
conv_0983,0.9879977813530125,0.0,0,0,0,0
conv_0984,0.907828323981767,0.5,4,4,4,4
conv_0985,0.7062799168453919,0.0,2,2,1,1
conv_0986,0.7569342264476391,0.0,2,2,0,0
conv_0987,0.6684722156274705,0.0,1,1,2,2
conv_0988,0.9065496274095877,0.25,4,4,0,0
conv_0989,0.9121031184879598,0.17647058823529413,5,5,5,5
conv_0990,0.6711315511863418,0.25,4,4,2,2
conv_0991,0.9200557267480963,0.18181818181818182,3,3,1,1
conv_0992,0.9922931581405481,0.2777777777777778,6,6,4,4
conv_0993,0.6867841721954586,0.0,4,4,1,1
conv_0994,0.9136973146343599,0.17647058823529413,4,4,4,4
conv_0995,0.9261048061996402,0.5,2,2,2,2
conv_0996,0.9655537933543108,0.0,5,5,3,3
conv_0997,0.5215293207657785,0.14285714285714285,2,2,0,0
conv_0998,0.684346376586922,0.21052631578947367,9,9,3,3
conv_0999,0.8656627551311815,0.0,3,3,0,0
